,Membres,Missions,Compétences,Certifications,Combined
133,"Nom: Daniel Cardenas, Code: 494125, Coefficient: 105, Profil: Expert, Localisation: Tours, Equipe: ODI, Manager: William Bell, ","[""Mission Data Ing + Data S. à 80% d'occupation chez Club Med du 2025-11-04 au 2026-06-17"", ""Mission Data Ing + Data S. à 80% d'occupation chez Enedis du 2024-07-25 au 2025-02-21"", ""Mission Data Ing + Data S. à 80% d'occupation chez Fraikin du 2024-07-29 au 2024-09-17"", ""Mission Data Ing + Data S. à 20% d'occupation chez LVMH du 2025-01-23 au 2025-11-21"", ""Mission Data Ing + Data S. à 20% d'occupation chez La Poste du 2024-07-26 au 2024-08-24"", ""Mission Data Ing + Data S. à 20% d'occupation chez Société Générale du 2026-04-29 au 2027-02-08""]","['Compétent en Analyse du flux de données à un niveau très bon', 'Compétent en RedisDB à un niveau expert', 'Compétent en Robotique à un niveau faible']","[""Certifié Splunk Enterprise Cert. Admin (SECADMIN) depuis le 2020-11-09 et jusqu'au 2022-08-16""]","Nom: Daniel Cardenas, Code: 494125, Coefficient: 105, Profil: Expert, Localisation: Tours, Equipe: ODI, Manager: William Bell, [Mission Data Ing + Data S. à 80% d'occupation chez Club Med du 2025-11-04 au 2026-06-17, Mission Data Ing + Data S. à 80% d'occupation chez Enedis du 2024-07-25 au 2025-02-21, Mission Data Ing + Data S. à 80% d'occupation chez Fraikin du 2024-07-29 au 2024-09-17, Mission Data Ing + Data S. à 20% d'occupation chez LVMH du 2025-01-23 au 2025-11-21, Mission Data Ing + Data S. à 20% d'occupation chez La Poste du 2024-07-26 au 2024-08-24, Mission Data Ing + Data S. à 20% d'occupation chez Société Générale du 2026-04-29 au 2027-02-08], ['Compétent en Analyse du flux de données à un niveau très bon', 'Compétent en RedisDB à un niveau expert', 'Compétent en Robotique à un niveau faible'], [Certifié Splunk Enterprise Cert. Admin (SECADMIN) depuis le 2020-11-09 et jusqu'au 2022-08-16]"
134,"Nom: Daniel Lewis, Code: 477512, Coefficient: 170, Profil: Junior, Localisation: Tours, Equipe: DSIA, Manager: Melissa Smith, ","[""Mission Talend BD à 50% d'occupation chez Dalkia du 2025-11-14 au 2026-09-18"", ""Mission Talend BD à 50% d'occupation chez Enedis du 2023-10-07 au 2024-01-16"", ""Mission Talend BD à 50% d'occupation chez Engie du 2024-06-08 au 2025-04-26"", ""Mission Talend BD à 50% d'occupation chez Fraikin du 2023-10-26 au 2024-07-15"", ""Mission Talend BD à 50% d'occupation chez LVMH du 2023-09-06 au 2023-11-21"", ""Mission Talend BD à 50% d'occupation chez La Poste du 2025-07-27 au 2026-01-01"", ""Mission Talend BD à 50% d'occupation chez Orange du 2025-02-21 au 2025-09-04""]","[""Mission Talend BD à 50% d'occupation chez Orange du 2025-02-21 au 2025-09-04"", 'Compétent en IONIC à un niveau bon', 'Compétent en Migration de données à un niveau très bon']","[""Certifié Microsoft Dynamics 365 (MD365) depuis le 2023-12-12 et jusqu'au 2025-06-11"", ""Certifié Microsoft Azure DataFundmntls (MSAZDF) depuis le 2023-08-19 et jusqu'au 2026-03-22"", ""Certifié OCA8 (OCA8) depuis le 2021-12-28 et jusqu'au 2024-06-03""]","Nom: Daniel Lewis, Code: 477512, Coefficient: 170, Profil: Junior, Localisation: Tours, Equipe: DSIA, Manager: Melissa Smith, [Mission Talend BD à 50% d'occupation chez Dalkia du 2025-11-14 au 2026-09-18, Mission Talend BD à 50% d'occupation chez Enedis du 2023-10-07 au 2024-01-16, Mission Talend BD à 50% d'occupation chez Engie du 2024-06-08 au 2025-04-26, Mission Talend BD à 50% d'occupation chez Fraikin du 2023-10-26 au 2024-07-15, Mission Talend BD à 50% d'occupation chez LVMH du 2023-09-06 au 2023-11-21, Mission Talend BD à 50% d'occupation chez La Poste du 2025-07-27 au 2026-01-01, Mission Talend BD à 50% d'occupation chez Orange du 2025-02-21 au 2025-09-04], [Mission Talend BD à 50% d'occupation chez Orange du 2025-02-21 au 2025-09-04, 'Compétent en IONIC à un niveau bon', 'Compétent en Migration de données à un niveau très bon'], [Certifié Microsoft Dynamics 365 (MD365) depuis le 2023-12-12 et jusqu'au 2025-06-11, Certifié Microsoft Azure DataFundmntls (MSAZDF) depuis le 2023-08-19 et jusqu'au 2026-03-22, Certifié OCA8 (OCA8) depuis le 2021-12-28 et jusqu'au 2024-06-03]"
135,"Nom: Daniel Murphy, Code: 496288, Coefficient: 115, Profil: Junior, Localisation: Paris, Equipe: TALEND, Manager: Chad Barrett, ","[""Mission Direction de projet à 80% d'occupation chez Bouygues du 2024-05-07 au 2025-04-16"", ""Mission Direction de projet à 20% d'occupation chez Club Med du 2025-01-25 au 2025-05-22"", 'Disponible à 80% du 2025-04-12 au 2025-09-11', ""Mission Direction de projet à 20% d'occupation chez Engie du 2025-07-01 au 2026-06-10"", ""Mission Direction de projet à 80% d'occupation chez Société Générale du 2026-04-15 au 2026-07-01""]","['Compétent en Process Intelligence à un niveau bon', 'Compétent en Recherche opérationnelle à un niveau faible', 'Compétent en Recherche opérationnelle à un niveau faible', 'Compétent en Transformation de l‘entreprise à un niveau expert']","[""Certifié GoogleCloudAssociateEngineer (GCLOUDAE) depuis le 2022-02-17 et jusqu'au 2024-03-17""]","Nom: Daniel Murphy, Code: 496288, Coefficient: 115, Profil: Junior, Localisation: Paris, Equipe: TALEND, Manager: Chad Barrett, [Mission Direction de projet à 80% d'occupation chez Bouygues du 2024-05-07 au 2025-04-16, Mission Direction de projet à 20% d'occupation chez Club Med du 2025-01-25 au 2025-05-22, 'Disponible à 80% du 2025-04-12 au 2025-09-11', Mission Direction de projet à 20% d'occupation chez Engie du 2025-07-01 au 2026-06-10, Mission Direction de projet à 80% d'occupation chez Société Générale du 2026-04-15 au 2026-07-01], ['Compétent en Process Intelligence à un niveau bon', 'Compétent en Recherche opérationnelle à un niveau faible', 'Compétent en Recherche opérationnelle à un niveau faible', 'Compétent en Transformation de l‘entreprise à un niveau expert'], [Certifié GoogleCloudAssociateEngineer (GCLOUDAE) depuis le 2022-02-17 et jusqu'au 2024-03-17]"
136,"Nom: Daniel Sandoval, Code: 492777, Coefficient: 105, Profil: Confirmé, Localisation: Paris, Equipe: Data Integration, Manager: Mary Bennett, ","[""Mission SSIS à 20% d'occupation chez Bouygues du 2024-08-07 au 2025-04-13"", ""Mission SSIS à 100% d'occupation chez Club Med du 2026-02-01 au 2026-04-09"", 'Disponible à 100% du 2025-06-03 au 2026-04-08', ""Mission SSIS à 0% d'occupation chez Dalkia du 2026-02-24 au 2026-03-03"", ""Mission SSIS à 80% d'occupation chez Société Générale du 2025-02-14 au 2025-05-18"", 'En congés à 100% du 2025-05-19 au 2025-06-02']","['Compétent en AWS Cloudformation à un niveau expert', 'Compétent en Android à un niveau faible', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en Xamarin à un niveau bon']","[""Certifié Cambridge Advanced Certificate (CAE) depuis le 2020-07-18 et jusqu'au 2021-12-05"", ""Certifié Microsoft CertPowerPfAppMkrAss (MCPPAMA) depuis le 2021-02-26 et jusqu'au 2023-12-08"", ""Certifié Microsoft TA ProgrHTMLandCSS (MTAHCS) depuis le 2021-10-03 et jusqu'au 2022-11-20""]","Nom: Daniel Sandoval, Code: 492777, Coefficient: 105, Profil: Confirmé, Localisation: Paris, Equipe: Data Integration, Manager: Mary Bennett, [Mission SSIS à 20% d'occupation chez Bouygues du 2024-08-07 au 2025-04-13, Mission SSIS à 100% d'occupation chez Club Med du 2026-02-01 au 2026-04-09, 'Disponible à 100% du 2025-06-03 au 2026-04-08', Mission SSIS à 0% d'occupation chez Dalkia du 2026-02-24 au 2026-03-03, Mission SSIS à 80% d'occupation chez Société Générale du 2025-02-14 au 2025-05-18, 'En congés à 100% du 2025-05-19 au 2025-06-02'], ['Compétent en AWS Cloudformation à un niveau expert', 'Compétent en Android à un niveau faible', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en Xamarin à un niveau bon'], [Certifié Cambridge Advanced Certificate (CAE) depuis le 2020-07-18 et jusqu'au 2021-12-05, Certifié Microsoft CertPowerPfAppMkrAss (MCPPAMA) depuis le 2021-02-26 et jusqu'au 2023-12-08, Certifié Microsoft TA ProgrHTMLandCSS (MTAHCS) depuis le 2021-10-03 et jusqu'au 2022-11-20]"
137,"Nom: Danielle Mathis, Code: 470707, Coefficient: 150, Profil: Confirmé, Localisation: Mtp, Equipe: ODI, Manager: Jeremy Cooper, ","[""Mission DevOps à 20% d'occupation chez COVEA du 2025-02-02 au 2025-09-19"", 'Disponible à 80% du 2025-08-05 au 2026-03-07', ""Mission DevOps à 80% d'occupation chez Engie du 2024-07-25 au 2025-04-07""]","['Compétent en Angular à un niveau expert', 'Compétent en Architecture de la sécurité à un niveau très bon', 'Compétent en Architecture de la sécurité à un niveau très bon', 'Compétent en Conception interface utilis. à un niveau expert', 'Compétent en JUNIT Framework à un niveau bon', 'Compétent en Négociation à un niveau expert', 'Compétent en Systèmes gestion BD à un niveau faible']","[""Certifié Licensed Penetration Tester (LPT) depuis le 2020-06-09 et jusqu'au 2021-09-19"", ""Certifié Microsoft Cert Azure Fundmntls (MSAZURE) depuis le 2022-11-03 et jusqu'au 2025-03-18"", ""Certifié Cert Prince2 fondamental (PRINCE2F) depuis le 2024-03-08 et jusqu'au 2026-03-20""]","Nom: Danielle Mathis, Code: 470707, Coefficient: 150, Profil: Confirmé, Localisation: Mtp, Equipe: ODI, Manager: Jeremy Cooper, [Mission DevOps à 20% d'occupation chez COVEA du 2025-02-02 au 2025-09-19, 'Disponible à 80% du 2025-08-05 au 2026-03-07', Mission DevOps à 80% d'occupation chez Engie du 2024-07-25 au 2025-04-07], ['Compétent en Angular à un niveau expert', 'Compétent en Architecture de la sécurité à un niveau très bon', 'Compétent en Architecture de la sécurité à un niveau très bon', 'Compétent en Conception interface utilis. à un niveau expert', 'Compétent en JUNIT Framework à un niveau bon', 'Compétent en Négociation à un niveau expert', 'Compétent en Systèmes gestion BD à un niveau faible'], [Certifié Licensed Penetration Tester (LPT) depuis le 2020-06-09 et jusqu'au 2021-09-19, Certifié Microsoft Cert Azure Fundmntls (MSAZURE) depuis le 2022-11-03 et jusqu'au 2025-03-18, Certifié Cert Prince2 fondamental (PRINCE2F) depuis le 2024-03-08 et jusqu'au 2026-03-20]"
138,"Nom: Danielle Ross, Code: LPS00340289, Coefficient: 100, Profil: Confirmé, Localisation: Paris, Equipe: Data Management, Manager: William Bell, ","[""Mission Pilotage BT à 20% d'occupation chez BPCE du 2024-07-17 au 2025-01-14"", ""Mission Pilotage BT à 80% d'occupation chez COVEA du 2024-01-08 au 2024-08-05"", ""Mission Pilotage BT à 20% d'occupation chez Orange du 2023-10-20 au 2024-03-18""]","['Compétent en Apache Axis à un niveau bon', 'Compétent en Data story telling à un niveau bon', 'Compétent en Data story telling à un niveau bon']","[""Certifié MS365 Certified: Dev Associate (365_DA) depuis le 2022-01-12 et jusqu'au 2023-07-26"", ""Certifié Microsoft 365 CertFundamentals (MICROSCF) depuis le 2021-08-13 et jusqu'au 2023-09-27""]","Nom: Danielle Ross, Code: LPS00340289, Coefficient: 100, Profil: Confirmé, Localisation: Paris, Equipe: Data Management, Manager: William Bell, [Mission Pilotage BT à 20% d'occupation chez BPCE du 2024-07-17 au 2025-01-14, Mission Pilotage BT à 80% d'occupation chez COVEA du 2024-01-08 au 2024-08-05, Mission Pilotage BT à 20% d'occupation chez Orange du 2023-10-20 au 2024-03-18], ['Compétent en Apache Axis à un niveau bon', 'Compétent en Data story telling à un niveau bon', 'Compétent en Data story telling à un niveau bon'], [Certifié MS365 Certified: Dev Associate (365_DA) depuis le 2022-01-12 et jusqu'au 2023-07-26, Certifié Microsoft 365 CertFundamentals (MICROSCF) depuis le 2021-08-13 et jusqu'au 2023-09-27]"
139,"Nom: Danielle Sandoval, Code: 448737, Coefficient: 105, Profil: Sénior, Localisation: Mtp, Equipe: MSBI, Manager: Regina Jones, ","[""Mission Azure à 80% d'occupation chez COVEA du 2025-03-03 au 2025-05-17"", ""Mission Azure à 20% d'occupation chez Dalkia du 2024-07-14 au 2025-04-06"", ""Mission Azure à 80% d'occupation chez Engie du 2025-03-18 au 2025-04-16"", ""Mission Azure à 20% d'occupation chez Fraikin du 2025-02-22 au 2026-01-12"", ""Mission Azure à 20% d'occupation chez La Poste du 2025-02-13 au 2025-04-11""]","[""Mission Azure à 20% d'occupation chez La Poste du 2025-02-13 au 2025-04-11"", 'Compétent en ArchiMate à un niveau faible', 'Compétent en Architecture des données à un niveau expert', 'Compétent en Planif./mise en œuvre d‘essais à un niveau expert']","[""Certifié Microsoft CertPowrBIDataAnaAss (MCPBIDAA) depuis le 2021-06-18 et jusqu'au 2023-09-08""]","Nom: Danielle Sandoval, Code: 448737, Coefficient: 105, Profil: Sénior, Localisation: Mtp, Equipe: MSBI, Manager: Regina Jones, [Mission Azure à 80% d'occupation chez COVEA du 2025-03-03 au 2025-05-17, Mission Azure à 20% d'occupation chez Dalkia du 2024-07-14 au 2025-04-06, Mission Azure à 80% d'occupation chez Engie du 2025-03-18 au 2025-04-16, Mission Azure à 20% d'occupation chez Fraikin du 2025-02-22 au 2026-01-12, Mission Azure à 20% d'occupation chez La Poste du 2025-02-13 au 2025-04-11], [Mission Azure à 20% d'occupation chez La Poste du 2025-02-13 au 2025-04-11, 'Compétent en ArchiMate à un niveau faible', 'Compétent en Architecture des données à un niveau expert', 'Compétent en Planif./mise en œuvre d‘essais à un niveau expert'], [Certifié Microsoft CertPowrBIDataAnaAss (MCPBIDAA) depuis le 2021-06-18 et jusqu'au 2023-09-08]"
140,"Nom: Danny Rice, Code: 499514, Coefficient: 100, Profil: Expert, Localisation: Paris, Equipe: Data Management, Manager: Jeffrey Werner, ","[""Mission Informatica stambia, talend, datastage à 20% d'occupation chez Bouygues du 2024-04-26 au 2024-09-06"", ""Mission Informatica stambia, talend, datastage à 20% d'occupation chez Club Med du 2024-06-19 au 2024-06-19"", 'Disponible à 80% du 2024-07-12 au 2024-08-21', ""Mission Informatica stambia, talend, datastage à 80% d'occupation chez La Poste du 2024-01-17 au 2024-07-06""]","['Compétent en Azure Data Lake à un niveau faible', 'Compétent en Elastic Suite à un niveau bon', 'Compétent en Facilitation d‘atelier à un niveau expert', 'Compétent en Google Analytics à un niveau très bon', 'Compétent en SAP ABAP à un niveau expert', 'Compétent en Snowflake à un niveau faible', 'Compétent en Tests système d‘exp. Android à un niveau très bon']","[""Certifié SAFe for Teams (SAFETMS) depuis le 2022-12-05 et jusqu'au 2024-03-05""]","Nom: Danny Rice, Code: 499514, Coefficient: 100, Profil: Expert, Localisation: Paris, Equipe: Data Management, Manager: Jeffrey Werner, [Mission Informatica stambia, talend, datastage à 20% d'occupation chez Bouygues du 2024-04-26 au 2024-09-06, Mission Informatica stambia, talend, datastage à 20% d'occupation chez Club Med du 2024-06-19 au 2024-06-19, 'Disponible à 80% du 2024-07-12 au 2024-08-21', Mission Informatica stambia, talend, datastage à 80% d'occupation chez La Poste du 2024-01-17 au 2024-07-06], ['Compétent en Azure Data Lake à un niveau faible', 'Compétent en Elastic Suite à un niveau bon', 'Compétent en Facilitation d‘atelier à un niveau expert', 'Compétent en Google Analytics à un niveau très bon', 'Compétent en SAP ABAP à un niveau expert', 'Compétent en Snowflake à un niveau faible', 'Compétent en Tests système d‘exp. Android à un niveau très bon'], [Certifié SAFe for Teams (SAFETMS) depuis le 2022-12-05 et jusqu'au 2024-03-05]"
141,"Nom: Darrell Arroyo, Code: 467244, Coefficient: 170, Profil: Sénior, Localisation: Mtp, Equipe: MSBI, Manager: Clayton Wade, ","[""Mission Data Ing + Data S. à 80% d'occupation chez BPCE du 2023-09-08 au 2024-03-30"", ""Mission Data Ing + Data S. à 80% d'occupation chez COVEA du 2024-03-03 au 2025-01-13"", ""Mission Data Ing + Data S. à 20% d'occupation chez La Poste du 2024-02-02 au 2024-05-11"", 'En congés à 100% du 2025-01-14 au 2025-01-28']","['En congés à 100% du 2025-01-14 au 2025-01-28', 'Compétent en Automation\xa0360 à un niveau expert', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en MuleSoft à un niveau bon', 'Compétent en Pentaho à un niveau très bon', 'Compétent en Planning court terme à un niveau bon', 'Compétent en Tests (Essais) à un niveau expert']","[""Certifié Ingénieur agréé (CENG) depuis le 2021-11-20 et jusqu'au 2022-12-18"", ""Certifié Microsoft PowerPlatFuncConsAss (PLPDFCA) depuis le 2021-05-08 et jusqu'au 2023-11-18"", ""Certifié SAFe Prod.-Manager-Owner (SAFEPO) depuis le 2023-11-14 et jusqu'au 2026-09-16""]","Nom: Darrell Arroyo, Code: 467244, Coefficient: 170, Profil: Sénior, Localisation: Mtp, Equipe: MSBI, Manager: Clayton Wade, [Mission Data Ing + Data S. à 80% d'occupation chez BPCE du 2023-09-08 au 2024-03-30, Mission Data Ing + Data S. à 80% d'occupation chez COVEA du 2024-03-03 au 2025-01-13, Mission Data Ing + Data S. à 20% d'occupation chez La Poste du 2024-02-02 au 2024-05-11, 'En congés à 100% du 2025-01-14 au 2025-01-28'], ['En congés à 100% du 2025-01-14 au 2025-01-28', 'Compétent en Automation\xa0360 à un niveau expert', 'Compétent en Data Catalog à un niveau très bon', 'Compétent en MuleSoft à un niveau bon', 'Compétent en Pentaho à un niveau très bon', 'Compétent en Planning court terme à un niveau bon', 'Compétent en Tests (Essais) à un niveau expert'], [Certifié Ingénieur agréé (CENG) depuis le 2021-11-20 et jusqu'au 2022-12-18, Certifié Microsoft PowerPlatFuncConsAss (PLPDFCA) depuis le 2021-05-08 et jusqu'au 2023-11-18, Certifié SAFe Prod.-Manager-Owner (SAFEPO) depuis le 2023-11-14 et jusqu'au 2026-09-16]"
142,"Nom: Darrell Flores, Code: 489452, Coefficient: 150, Profil: Sénior, Localisation: Mtp, Equipe: DataViz, Manager: Jasmine Allen, ","[""Mission SAS à 20% d'occupation chez BPCE du 2024-07-28 au 2025-03-16"", ""Mission SAS à 20% d'occupation chez Bouygues du 2025-03-08 au 2025-04-10"", ""Mission SAS à 80% d'occupation chez Enedis du 2025-11-23 au 2026-04-11"", ""Mission SAS à 80% d'occupation chez Engie du 2025-02-08 au 2025-03-28"", ""Mission SAS à 20% d'occupation chez Orange du 2025-11-14 au 2026-01-27"", ""Mission SAS à 80% d'occupation chez Société Générale du 2025-03-03 au 2026-01-21""]","['Compétent en CMMI à un niveau expert', 'Compétent en Essais de la convivialité à un niveau expert', 'Compétent en Organisation du contenu à un niveau très bon', 'Compétent en Postman à un niveau faible', 'Compétent en SAP NetWeaver CE à un niveau faible', 'Compétent en Spring Boot à un niveau bon']","[""Certifié ServiceNow MC Configure CMDB (SNMCCMDB) depuis le 2021-03-31 et jusqu'au 2023-06-29""]","Nom: Darrell Flores, Code: 489452, Coefficient: 150, Profil: Sénior, Localisation: Mtp, Equipe: DataViz, Manager: Jasmine Allen, [Mission SAS à 20% d'occupation chez BPCE du 2024-07-28 au 2025-03-16, Mission SAS à 20% d'occupation chez Bouygues du 2025-03-08 au 2025-04-10, Mission SAS à 80% d'occupation chez Enedis du 2025-11-23 au 2026-04-11, Mission SAS à 80% d'occupation chez Engie du 2025-02-08 au 2025-03-28, Mission SAS à 20% d'occupation chez Orange du 2025-11-14 au 2026-01-27, Mission SAS à 80% d'occupation chez Société Générale du 2025-03-03 au 2026-01-21], ['Compétent en CMMI à un niveau expert', 'Compétent en Essais de la convivialité à un niveau expert', 'Compétent en Organisation du contenu à un niveau très bon', 'Compétent en Postman à un niveau faible', 'Compétent en SAP NetWeaver CE à un niveau faible', 'Compétent en Spring Boot à un niveau bon'], [Certifié ServiceNow MC Configure CMDB (SNMCCMDB) depuis le 2021-03-31 et jusqu'au 2023-06-29]"
143,"Nom: Darren Holden, Code: 443155, Coefficient: 170, Profil: Sénior, Localisation: Tours, Equipe: DSIA, Manager: Kevin Greene, ","[""Mission Cybersecurity à 60% d'occupation chez BPCE du 2026-02-24 au 2026-11-10"", ""Mission Cybersecurity à 80% d'occupation chez Bouygues du 2024-06-26 au 2025-02-25"", ""Mission Cybersecurity à 20% d'occupation chez COVEA du 2025-01-21 au 2025-01-29"", ""Mission Cybersecurity à 60% d'occupation chez Club Med du 2025-07-03 au 2025-11-01"", ""Mission Cybersecurity à 40% d'occupation chez Enedis du 2025-02-14 au 2025-07-27"", ""Mission Cybersecurity à 40% d'occupation chez Engie du 2025-09-01 au 2026-04-25"", ""Mission Cybersecurity à 40% d'occupation chez LVMH du 2026-09-26 au 2027-01-20"", 'En congés à 100% du 2025-01-30 au 2025-02-13']","['Compétent en Java à un niveau bon', 'Compétent en Java à un niveau bon', 'Compétent en Sparx Enterprise Architect à un niveau expert']","[""Certifié Access 42 - Accessibilité (ACCESS42) depuis le 2024-05-14 et jusqu'au 2027-04-16"", ""Certifié Microsoft CertAzureDataFundmn. (DP900) depuis le 2022-10-24 et jusqu'au 2024-03-28"", ""Certifié MSDynamics365 for Custom.Serv. (MSD365C) depuis le 2023-12-08 et jusqu'au 2025-04-07""]","Nom: Darren Holden, Code: 443155, Coefficient: 170, Profil: Sénior, Localisation: Tours, Equipe: DSIA, Manager: Kevin Greene, [Mission Cybersecurity à 60% d'occupation chez BPCE du 2026-02-24 au 2026-11-10, Mission Cybersecurity à 80% d'occupation chez Bouygues du 2024-06-26 au 2025-02-25, Mission Cybersecurity à 20% d'occupation chez COVEA du 2025-01-21 au 2025-01-29, Mission Cybersecurity à 60% d'occupation chez Club Med du 2025-07-03 au 2025-11-01, Mission Cybersecurity à 40% d'occupation chez Enedis du 2025-02-14 au 2025-07-27, Mission Cybersecurity à 40% d'occupation chez Engie du 2025-09-01 au 2026-04-25, Mission Cybersecurity à 40% d'occupation chez LVMH du 2026-09-26 au 2027-01-20, 'En congés à 100% du 2025-01-30 au 2025-02-13'], ['Compétent en Java à un niveau bon', 'Compétent en Java à un niveau bon', 'Compétent en Sparx Enterprise Architect à un niveau expert'], [Certifié Access 42 - Accessibilité (ACCESS42) depuis le 2024-05-14 et jusqu'au 2027-04-16, Certifié Microsoft CertAzureDataFundmn. (DP900) depuis le 2022-10-24 et jusqu'au 2024-03-28, Certifié MSDynamics365 for Custom.Serv. (MSD365C) depuis le 2023-12-08 et jusqu'au 2025-04-07]"
144,"Nom: Darryl Davis, Code: 492399, Coefficient: 105, Profil: Junior, Localisation: Mtp, Equipe: TALEND, Manager: Vincent Weiss, ","[""Mission Direction de projet à 80% d'occupation chez Dalkia du 2023-10-16 au 2024-10-04"", ""Mission Direction de projet à 20% d'occupation chez Fraikin du 2024-07-20 au 2025-05-03"", ""Mission Direction de projet à 80% d'occupation chez Orange du 2025-03-30 au 2025-07-31""]","['Compétent en Azure HD Insight à un niveau expert', 'Compétent en Azure SQL DB à un niveau très bon', 'Compétent en IAM Gest. accès privilégiés à un niveau bon', 'Compétent en Pandas à un niveau faible', 'Compétent en Pandas à un niveau faible', 'Compétent en Pandas à un niveau faible', 'Compétent en Système exécution fabrication à un niveau expert']","[""Certifié Ingénieur agréé (CENG) depuis le 2023-07-16 et jusqu'au 2025-10-15""]","Nom: Darryl Davis, Code: 492399, Coefficient: 105, Profil: Junior, Localisation: Mtp, Equipe: TALEND, Manager: Vincent Weiss, [Mission Direction de projet à 80% d'occupation chez Dalkia du 2023-10-16 au 2024-10-04, Mission Direction de projet à 20% d'occupation chez Fraikin du 2024-07-20 au 2025-05-03, Mission Direction de projet à 80% d'occupation chez Orange du 2025-03-30 au 2025-07-31], ['Compétent en Azure HD Insight à un niveau expert', 'Compétent en Azure SQL DB à un niveau très bon', 'Compétent en IAM Gest. accès privilégiés à un niveau bon', 'Compétent en Pandas à un niveau faible', 'Compétent en Pandas à un niveau faible', 'Compétent en Pandas à un niveau faible', 'Compétent en Système exécution fabrication à un niveau expert'], [Certifié Ingénieur agréé (CENG) depuis le 2023-07-16 et jusqu'au 2025-10-15]"
145,"Nom: David Berry PhD, Code: 496848, Coefficient: 100, Profil: Junior, Localisation: Paris, Equipe: Data Management, Manager: Mary Padilla, ","[""Mission SAS à 90% d'occupation chez BPCE du 2024-12-06 au 2025-03-01"", ""Mission SAS à 90% d'occupation chez Club Med du 2024-06-06 au 2024-11-24"", ""Mission SAS à 10% d'occupation chez Enedis du 2025-01-28 au 2025-10-04"", ""Mission SAS à 50% d'occupation chez LVMH du 2023-09-22 au 2023-10-10"", ""Mission SAS à 50% d'occupation chez La Poste du 2023-08-21 au 2024-05-21"", ""Mission SAS à 10% d'occupation chez Orange du 2024-09-25 au 2025-02-12"", 'En congés à 100% du 2024-05-22 au 2024-06-05']","['Compétent en Amélioration cont. services à un niveau bon', 'Compétent en Aviation à un niveau très bon', 'Compétent en Aviation à un niveau très bon', 'Compétent en Gestion des événements à un niveau expert', 'Compétent en Gestion des événements à un niveau expert', 'Compétent en Oracle Forms à un niveau très bon', 'Compétent en Oracle Forms à un niveau très bon']","[""Certifié Ingénieur junior (ING JR) depuis le 2020-11-12 et jusqu'au 2023-06-14"", ""Certifié SAS Cert Base Programmer (SASBP) depuis le 2024-07-23 et jusqu'au 2027-04-09"", ""Certifié Salesforce Administration (SF ADM) depuis le 2023-09-04 et jusqu'au 2025-08-03""]","Nom: David Berry PhD, Code: 496848, Coefficient: 100, Profil: Junior, Localisation: Paris, Equipe: Data Management, Manager: Mary Padilla, [Mission SAS à 90% d'occupation chez BPCE du 2024-12-06 au 2025-03-01, Mission SAS à 90% d'occupation chez Club Med du 2024-06-06 au 2024-11-24, Mission SAS à 10% d'occupation chez Enedis du 2025-01-28 au 2025-10-04, Mission SAS à 50% d'occupation chez LVMH du 2023-09-22 au 2023-10-10, Mission SAS à 50% d'occupation chez La Poste du 2023-08-21 au 2024-05-21, Mission SAS à 10% d'occupation chez Orange du 2024-09-25 au 2025-02-12, 'En congés à 100% du 2024-05-22 au 2024-06-05'], ['Compétent en Amélioration cont. services à un niveau bon', 'Compétent en Aviation à un niveau très bon', 'Compétent en Aviation à un niveau très bon', 'Compétent en Gestion des événements à un niveau expert', 'Compétent en Gestion des événements à un niveau expert', 'Compétent en Oracle Forms à un niveau très bon', 'Compétent en Oracle Forms à un niveau très bon'], [Certifié Ingénieur junior (ING JR) depuis le 2020-11-12 et jusqu'au 2023-06-14, Certifié SAS Cert Base Programmer (SASBP) depuis le 2024-07-23 et jusqu'au 2027-04-09, Certifié Salesforce Administration (SF ADM) depuis le 2023-09-04 et jusqu'au 2025-08-03]"
