Localisation,COEFF F212,PROFIL,Nom,Missions en cours,Competences,Date Demarrage,Date de fin,Taux occupation,Stream BT,combined,n_tokens
Mtp,150,Expert,Belda Poissonnier,ERAMET,UX,2024-04-01,2024-05-17,20%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: ERAMET, Date de début de mission: 2024-04-01, Date de fin de mission: 2024-05-17, Taux d'occupation: 20%",65
Mtp,150,Expert,Belda Poissonnier,TSV OFFRE,UX,2023-09-18,2024-12-31,20%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: TSV OFFRE, Date de début de mission: 2023-09-18, Date de fin de mission: 2024-12-31, Taux d'occupation: 20%",66
Mtp,150,Expert,Belda Poissonnier,Danone,UX,2024-01-01,2024-04-19,40%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: Danone, Date de début de mission: 2024-01-01, Date de fin de mission: 2024-04-19, Taux d'occupation: 40%",64
Mtp,150,Expert,Belda Poissonnier,Danone,UX,2024-04-29,2024-05-31,20%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: Danone, Date de début de mission: 2024-04-29, Date de fin de mission: 2024-05-31, Taux d'occupation: 20%",64
Mtp,150,Expert,Belda Poissonnier,Congs,UX,2024-04-22,2024-04-26,30%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: Congs, Date de début de mission: 2024-04-22, Date de fin de mission: 2024-04-26, Taux d'occupation: 30%",64
Mtp,150,Expert,Belda Poissonnier,Caisse d'Epargne Midi Pyrnes,UX,2024-04-01,2024-04-19,20%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: Caisse d'Epargne Midi Pyrnes, Date de début de mission: 2024-04-01, Date de fin de mission: 2024-04-19, Taux d'occupation: 20%",74
Mtp,150,Expert,Belda Poissonnier,Caisse d'Epargne Midi Pyrnes,UX,2024-04-22,2024-05-31,40%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: Caisse d'Epargne Midi Pyrnes, Date de début de mission: 2024-04-22, Date de fin de mission: 2024-05-31, Taux d'occupation: 40%",74
Mtp,150,Expert,Belda Poissonnier,Caisse d'Epargne Midi Pyrnes,UX,2024-06-03,2024-08-16,30%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: Caisse d'Epargne Midi Pyrnes, Date de début de mission: 2024-06-03, Date de fin de mission: 2024-08-16, Taux d'occupation: 30%",74
Mtp,150,Expert,Belda Poissonnier,DISPO ICE,UX,2024-06-03,2024-08-16,50%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: DISPO ICE, Date de début de mission: 2024-06-03, Date de fin de mission: 2024-08-16, Taux d'occupation: 50%",65
Mtp,150,Expert,Belda Poissonnier,DISPO ICE,UX,2024-08-20,2024-12-31,80%,DataViz,"Localisation: Mtp, Nom: Belda Poissonnier, Compétences: UX, Mission en cours: DISPO ICE, Date de début de mission: 2024-08-20, Date de fin de mission: 2024-12-31, Taux d'occupation: 80%",65
Paris,105,Confirmé,Ethan Cross,Haney-Price,Network Administration,2023-04-24,2024-07-13,54%,MSBI,"Localisation: Paris, Nom: Ethan Cross, Compétences: Network Administration, Mission en cours: Haney-Price, Date de début de mission: 2023-04-24, Date de fin de mission: 2024-07-13, Taux d'occupation: 54%",63
Mtp,105,Expert,Joanna Ellis,Glenn and Sons,Java Development,2022-06-19,2024-12-26,84%,MSBI,"Localisation: Mtp, Nom: Joanna Ellis, Compétences: Java Development, Mission en cours: Glenn and Sons, Date de début de mission: 2022-06-19, Date de fin de mission: 2024-12-26, Taux d'occupation: 84%",63
Tours,105,Confirmé,Ashley Wright,Singh Ltd,IT Support,2022-08-11,2025-02-19,90%,SSIS,"Localisation: Tours, Nom: Ashley Wright, Compétences: IT Support, Mission en cours: Singh Ltd, Date de début de mission: 2022-08-11, Date de fin de mission: 2025-02-19, Taux d'occupation: 90%",61
Tours,115,Expert,Annette Porter,"Harris, Gonzalez and Brown",Business Analysis,2022-08-04,2025-04-09,16%,ODI,"Localisation: Tours, Nom: Annette Porter, Compétences: Business Analysis, Mission en cours: Harris, Gonzalez and Brown, Date de début de mission: 2022-08-04, Date de fin de mission: 2025-04-09, Taux d'occupation: 16%",65
Paris,100,Confirmé,Maria Black,Mejia Ltd,Machine Learning,2023-10-31,2026-01-14,33%,TALEND,"Localisation: Paris, Nom: Maria Black, Compétences: Machine Learning, Mission en cours: Mejia Ltd, Date de début de mission: 2023-10-31, Date de fin de mission: 2026-01-14, Taux d'occupation: 33%",62
Mtp,100,Junior,Justin Alvarez,Stewart-Ramos,Network Administration,2023-11-20,2024-10-17,93%,MSBI,"Localisation: Mtp, Nom: Justin Alvarez, Compétences: Network Administration, Mission en cours: Stewart-Ramos, Date de début de mission: 2023-11-20, Date de fin de mission: 2024-10-17, Taux d'occupation: 93%",63
Paris,115,Expert,Nichole Wilson,Parker-Hammond,Machine Learning,2022-12-08,2025-08-25,49%,SSIS,"Localisation: Paris, Nom: Nichole Wilson, Compétences: Machine Learning, Mission en cours: Parker-Hammond, Date de début de mission: 2022-12-08, Date de fin de mission: 2025-08-25, Taux d'occupation: 49%",64
Paris,115,Junior,Jessica Barrett,Davis-Knight,Data Analysis,2023-09-04,2024-11-09,16%,MSBI,"Localisation: Paris, Nom: Jessica Barrett, Compétences: Data Analysis, Mission en cours: Davis-Knight, Date de début de mission: 2023-09-04, Date de fin de mission: 2024-11-09, Taux d'occupation: 16%",62
Paris,115,Expert,Bonnie Smith,"Davis, Smith and Levine",Network Administration,2022-12-28,2025-11-05,47%,MSBI,"Localisation: Paris, Nom: Bonnie Smith, Compétences: Network Administration, Mission en cours: Davis, Smith and Levine, Date de début de mission: 2022-12-28, Date de fin de mission: 2025-11-05, Taux d'occupation: 47%",64
Paris,105,Expert,Hannah Martin,Perez-Bell,Data Analysis,2024-01-31,2025-12-26,67%,ODI,"Localisation: Paris, Nom: Hannah Martin, Compétences: Data Analysis, Mission en cours: Perez-Bell, Date de début de mission: 2024-01-31, Date de fin de mission: 2025-12-26, Taux d'occupation: 67%",62
Mtp,170,Confirmé,Mark Tran,Johnson-Martinez,Network Administration,2022-12-04,2025-09-26,44%,SSIS,"Localisation: Mtp, Nom: Mark Tran, Compétences: Network Administration, Mission en cours: Johnson-Martinez, Date de début de mission: 2022-12-04, Date de fin de mission: 2025-09-26, Taux d'occupation: 44%",63
Mtp,100,Junior,Deanna Williams,Lara and Sons,Network Administration,2024-03-19,2025-02-14,85%,MSBI,"Localisation: Mtp, Nom: Deanna Williams, Compétences: Network Administration, Mission en cours: Lara and Sons, Date de début de mission: 2024-03-19, Date de fin de mission: 2025-02-14, Taux d'occupation: 85%",64
Tours,105,Expert,Christine Wallace,Clark PLC,Business Analysis,2024-02-02,2024-11-20,72%,SSIS,"Localisation: Tours, Nom: Christine Wallace, Compétences: Business Analysis, Mission en cours: Clark PLC, Date de début de mission: 2024-02-02, Date de fin de mission: 2024-11-20, Taux d'occupation: 72%",61
Mtp,115,Confirmé,Carol Nelson,"Martin, Stokes and Hurley",Database Management,2022-11-28,2025-10-06,14%,MSBI,"Localisation: Mtp, Nom: Carol Nelson, Compétences: Database Management, Mission en cours: Martin, Stokes and Hurley, Date de début de mission: 2022-11-28, Date de fin de mission: 2025-10-06, Taux d'occupation: 14%",66
Mtp,100,Junior,Sierra Nelson,Johnson Ltd,Cybersecurity,2023-04-28,2025-06-03,28%,SSIS,"Localisation: Mtp, Nom: Sierra Nelson, Compétences: Cybersecurity, Mission en cours: Johnson Ltd, Date de début de mission: 2023-04-28, Date de fin de mission: 2025-06-03, Taux d'occupation: 28%",62
Mtp,105,Confirmé,Jacob Sellers,Wilson Group,Database Management,2022-11-10,2024-12-12,46%,DSIA,"Localisation: Mtp, Nom: Jacob Sellers, Compétences: Database Management, Mission en cours: Wilson Group, Date de début de mission: 2022-11-10, Date de fin de mission: 2024-12-12, Taux d'occupation: 46%",62
Tours,170,Expert,Debra King,Nguyen-Fletcher,Web Development,2023-06-23,2024-09-12,67%,SSIS,"Localisation: Tours, Nom: Debra King, Compétences: Web Development, Mission en cours: Nguyen-Fletcher, Date de début de mission: 2023-06-23, Date de fin de mission: 2024-09-12, Taux d'occupation: 67%",63
Mtp,150,Expert,Autumn Medina,"Reynolds, Spence and Valenzuela",Cloud Computing,2023-03-10,2025-01-14,28%,MSBI,"Localisation: Mtp, Nom: Autumn Medina, Compétences: Cloud Computing, Mission en cours: Reynolds, Spence and Valenzuela, Date de début de mission: 2023-03-10, Date de fin de mission: 2025-01-14, Taux d'occupation: 28%",68
Mtp,115,Expert,James Jones,"Watts, Scott and Johnson",Python Development,2023-03-18,2026-01-26,57%,TALEND,"Localisation: Mtp, Nom: James Jones, Compétences: Python Development, Mission en cours: Watts, Scott and Johnson, Date de début de mission: 2023-03-18, Date de fin de mission: 2026-01-26, Taux d'occupation: 57%",65
Mtp,150,Confirmé,William Cooper,"Weber, Mendez and Vincent",IT Support,2023-10-31,2025-07-10,78%,SSIS,"Localisation: Mtp, Nom: William Cooper, Compétences: IT Support, Mission en cours: Weber, Mendez and Vincent, Date de début de mission: 2023-10-31, Date de fin de mission: 2025-07-10, Taux d'occupation: 78%",66
Mtp,100,Expert,Stephen Chambers,"Salazar, Anderson and Thompson",Cybersecurity,2024-04-15,2026-05-11,25%,TALEND,"Localisation: Mtp, Nom: Stephen Chambers, Compétences: Cybersecurity, Mission en cours: Salazar, Anderson and Thompson, Date de début de mission: 2024-04-15, Date de fin de mission: 2026-05-11, Taux d'occupation: 25%",66
Mtp,115,Expert,Patrick Hill,"Rowland, Gonzalez and David",Data Analysis,2023-10-09,2025-04-26,40%,SSIS,"Localisation: Mtp, Nom: Patrick Hill, Compétences: Data Analysis, Mission en cours: Rowland, Gonzalez and David, Date de début de mission: 2023-10-09, Date de fin de mission: 2025-04-26, Taux d'occupation: 40%",66
Paris,105,Confirmé,Kristin Reed,"Young, Weaver and Carr",Cloud Computing,2023-11-02,2025-10-01,83%,DSIA,"Localisation: Paris, Nom: Kristin Reed, Compétences: Cloud Computing, Mission en cours: Young, Weaver and Carr, Date de début de mission: 2023-11-02, Date de fin de mission: 2025-10-01, Taux d'occupation: 83%",65
Mtp,115,Junior,Troy Savage,Ramsey LLC,Software Testing,2023-11-01,2025-03-25,47%,DSIA,"Localisation: Mtp, Nom: Troy Savage, Compétences: Software Testing, Mission en cours: Ramsey LLC, Date de début de mission: 2023-11-01, Date de fin de mission: 2025-03-25, Taux d'occupation: 47%",62
Paris,105,Confirmé,Janet Johnson,Pruitt-Marshall,Cloud Computing,2023-07-11,2024-07-09,80%,MSBI,"Localisation: Paris, Nom: Janet Johnson, Compétences: Cloud Computing, Mission en cours: Pruitt-Marshall, Date de début de mission: 2023-07-11, Date de fin de mission: 2024-07-09, Taux d'occupation: 80%",62
Paris,170,Junior,Richard Yates,Davenport and Sons,Data Analysis,2023-07-20,2025-12-03,89%,DSIA,"Localisation: Paris, Nom: Richard Yates, Compétences: Data Analysis, Mission en cours: Davenport and Sons, Date de début de mission: 2023-07-20, Date de fin de mission: 2025-12-03, Taux d'occupation: 89%",63
Mtp,150,Junior,Crystal Riggs DVM,Pittman Inc,Software Testing,2023-12-04,2026-03-05,67%,DSIA,"Localisation: Mtp, Nom: Crystal Riggs DVM, Compétences: Software Testing, Mission en cours: Pittman Inc, Date de début de mission: 2023-12-04, Date de fin de mission: 2026-03-05, Taux d'occupation: 67%",66
Tours,115,Junior,Timothy Martin,"Ingram, Freeman and Rivas",Mobile Development,2023-05-01,2024-11-25,32%,DSIA,"Localisation: Tours, Nom: Timothy Martin, Compétences: Mobile Development, Mission en cours: Ingram, Freeman and Rivas, Date de début de mission: 2023-05-01, Date de fin de mission: 2024-11-25, Taux d'occupation: 32%",65
Mtp,170,Expert,Charles Alvarez,Johnson-Davis,Python Development,2024-03-11,2025-05-14,22%,TALEND,"Localisation: Mtp, Nom: Charles Alvarez, Compétences: Python Development, Mission en cours: Johnson-Davis, Date de début de mission: 2024-03-11, Date de fin de mission: 2025-05-14, Taux d'occupation: 22%",63
Tours,100,Confirmé,Amanda Price,"Smith, Francis and Hill",Java Development,2023-03-21,2026-03-27,41%,DSIA,"Localisation: Tours, Nom: Amanda Price, Compétences: Java Development, Mission en cours: Smith, Francis and Hill, Date de début de mission: 2023-03-21, Date de fin de mission: 2026-03-27, Taux d'occupation: 41%",64
Paris,150,Expert,Eddie Weber,Dean PLC,Cybersecurity,2023-11-03,2025-05-16,24%,ODI,"Localisation: Paris, Nom: Eddie Weber, Compétences: Cybersecurity, Mission en cours: Dean PLC, Date de début de mission: 2023-11-03, Date de fin de mission: 2025-05-16, Taux d'occupation: 24%",61
Mtp,150,Confirmé,John Ford,Schmidt Group,Data Analysis,2023-04-15,2025-10-17,13%,DSIA,"Localisation: Mtp, Nom: John Ford, Compétences: Data Analysis, Mission en cours: Schmidt Group, Date de début de mission: 2023-04-15, Date de fin de mission: 2025-10-17, Taux d'occupation: 13%",62
Paris,105,Confirmé,Robert Taylor,"Brown, Butler and Terrell",Python Development,2024-03-14,2025-05-23,55%,ODI,"Localisation: Paris, Nom: Robert Taylor, Compétences: Python Development, Mission en cours: Brown, Butler and Terrell, Date de début de mission: 2024-03-14, Date de fin de mission: 2025-05-23, Taux d'occupation: 55%",65
Tours,115,Confirmé,Jason Rogers,Miller-Henderson,IT Support,2023-06-15,2025-12-17,66%,TALEND,"Localisation: Tours, Nom: Jason Rogers, Compétences: IT Support, Mission en cours: Miller-Henderson, Date de début de mission: 2023-06-15, Date de fin de mission: 2025-12-17, Taux d'occupation: 66%",63
Tours,115,Expert,Dr. James Davis,Perez PLC,DevOps,2024-02-24,2024-12-24,49%,SSIS,"Localisation: Tours, Nom: Dr. James Davis, Compétences: DevOps, Mission en cours: Perez PLC, Date de début de mission: 2024-02-24, Date de fin de mission: 2024-12-24, Taux d'occupation: 49%",63
Tours,170,Expert,William Anderson,Soto-Brown,Network Administration,2023-09-17,2025-09-23,47%,MSBI,"Localisation: Tours, Nom: William Anderson, Compétences: Network Administration, Mission en cours: Soto-Brown, Date de début de mission: 2023-09-17, Date de fin de mission: 2025-09-23, Taux d'occupation: 47%",63
Tours,100,Confirmé,Ian Mckinney,"Soto, Perez and Stephens",Cloud Computing,2023-02-22,2025-08-16,50%,SSIS,"Localisation: Tours, Nom: Ian Mckinney, Compétences: Cloud Computing, Mission en cours: Soto, Perez and Stephens, Date de début de mission: 2023-02-22, Date de fin de mission: 2025-08-16, Taux d'occupation: 50%",68
Mtp,115,Expert,Jasmine Medina,French-James,Machine Learning,2023-07-08,2025-01-10,24%,DSIA,"Localisation: Mtp, Nom: Jasmine Medina, Compétences: Machine Learning, Mission en cours: French-James, Date de début de mission: 2023-07-08, Date de fin de mission: 2025-01-10, Taux d'occupation: 24%",63
Mtp,170,Confirmé,Stacie Pitts,"Davis, Juarez and Coleman",Python Development,2023-08-17,2026-04-17,99%,DSIA,"Localisation: Mtp, Nom: Stacie Pitts, Compétences: Python Development, Mission en cours: Davis, Juarez and Coleman, Date de début de mission: 2023-08-17, Date de fin de mission: 2026-04-17, Taux d'occupation: 99%",68
Mtp,170,Expert,Daniel Keller,Jordan-Jones,Java Development,2024-01-14,2025-11-17,90%,TALEND,"Localisation: Mtp, Nom: Daniel Keller, Compétences: Java Development, Mission en cours: Jordan-Jones, Date de début de mission: 2024-01-14, Date de fin de mission: 2025-11-17, Taux d'occupation: 90%",63
Tours,100,Expert,Lori Yoder,Wilson and Sons,Cybersecurity,2022-10-14,2025-02-11,46%,MSBI,"Localisation: Tours, Nom: Lori Yoder, Compétences: Cybersecurity, Mission en cours: Wilson and Sons, Date de début de mission: 2022-10-14, Date de fin de mission: 2025-02-11, Taux d'occupation: 46%",63
Tours,100,Junior,Jonathon Stephens,"Martinez, Williams and Larsen",DevOps,2022-12-20,2025-02-05,88%,DSIA,"Localisation: Tours, Nom: Jonathon Stephens, Compétences: DevOps, Mission en cours: Martinez, Williams and Larsen, Date de début de mission: 2022-12-20, Date de fin de mission: 2025-02-05, Taux d'occupation: 88%",66
Tours,100,Confirmé,Michael Taylor,Goodman-Gibson,Business Analysis,2022-08-19,2025-10-21,51%,SSIS,"Localisation: Tours, Nom: Michael Taylor, Compétences: Business Analysis, Mission en cours: Goodman-Gibson, Date de début de mission: 2022-08-19, Date de fin de mission: 2025-10-21, Taux d'occupation: 51%",63
Mtp,150,Expert,Autumn Taylor,Walker-Medina,Web Development,2023-04-16,2025-10-31,79%,TALEND,"Localisation: Mtp, Nom: Autumn Taylor, Compétences: Web Development, Mission en cours: Walker-Medina, Date de début de mission: 2023-04-16, Date de fin de mission: 2025-10-31, Taux d'occupation: 79%",64
