Localisation,COEFF_F212,PROFIL,Nom,Missions_en_cours,Competences,Date_Demarrage,Date_de_fin,Tx_occup,Stream_BT
Mtp,100,Confirmé,Jonathan Benson,Fraikin,"Talend, Talend BD",2025-10-12,2026-06-21,0.4,TALEND
Mtp,100,Confirmé,Jonathan Benson,Enedis,"Talend, Talend BD",2026-05-25,2026-08-06,0.6,TALEND
Mtp,100,Confirmé,Jonathan Benson,Société Générale,"Talend, Talend BD",2026-05-31,2026-11-14,0.4,TALEND
Mtp,100,Confirmé,Jonathan Benson,LVMH,"Talend, Talend BD",2026-10-07,2027-08-22,0.6,TALEND
Mtp,100,Expert,Timothy Armstrong,Bouygues,Azure,2023-11-10,2023-12-30,0.8,Data Integration
Mtp,100,Expert,Timothy Armstrong,Club Med,Azure,2023-10-09,2023-12-03,0.2,Data Integration
Mtp,100,Expert,Timothy Armstrong,Engie,Azure,2023-09-21,2023-09-28,0.8,Data Integration
Mtp,100,Expert,Timothy Armstrong,LVMH,Azure,2023-09-12,2024-07-26,0.2,Data Integration
Mtp,100,Expert,Timothy Armstrong,BPCE,Azure,2024-07-07,2025-05-10,0.8,Data Integration
Mtp,100,Expert,Timothy Armstrong,congés,Azure,2025-05-11,2025-05-25,1.0,Data Integration
Paris,170,Sénior,Joanna Kennedy,BPCE,Pilotage BT,2023-12-27,2024-08-24,0.2,Data Integration
Paris,170,Sénior,Joanna Kennedy,Engie,Pilotage BT,2024-06-09,2025-03-08,0.8,Data Integration
Paris,170,Sénior,Joanna Kennedy,COVEA,Pilotage BT,2025-01-12,2025-10-14,0.2,Data Integration
Paris,170,Sénior,Joanna Kennedy,Bouygues,Pilotage BT,2025-08-14,2026-04-26,0.8,Data Integration
Paris,170,Sénior,Joanna Kennedy,LVMH,Pilotage BT,2026-04-01,2026-12-17,0.2,Data Integration
Paris,170,Sénior,Joanna Kennedy,Société Générale,Pilotage BT,2026-11-24,2027-01-17,0.8,Data Integration
Paris,150,Confirmé,Denise Harrison,COVEA,"Informatica stambia, talend, datastage",2024-03-10,2024-06-29,0.2,TALEND
Paris,150,Confirmé,Denise Harrison,Enedis,"Informatica stambia, talend, datastage",2024-04-07,2024-08-13,0.8,TALEND
Paris,150,Confirmé,Denise Harrison,Bouygues,"Informatica stambia, talend, datastage",2024-05-22,2024-07-03,0.2,TALEND
Paris,150,Confirmé,Denise Harrison,Club Med,"Informatica stambia, talend, datastage",2024-06-05,2024-07-20,0.8,TALEND
Paris,150,Confirmé,Denise Harrison,Société Générale,"Informatica stambia, talend, datastage",2024-06-04,2024-09-24,0.2,TALEND
Mtp,150,Expert,John Sanchez,Bouygues,Azure,2024-03-16,2024-09-11,0.5,DataViz
Mtp,150,Expert,John Sanchez,congés,Azure,2024-09-12,2024-09-26,1.0,DataViz
Mtp,150,Expert,John Sanchez,Orange,Azure,2024-09-27,2025-06-18,0.2,DataViz
Mtp,150,Expert,John Sanchez,La Poste,Azure,2025-05-26,2026-02-25,0.8,DataViz
Mtp,150,Expert,John Sanchez,DISPO ICE,Azure,2025-12-25,2026-09-09,0.2,DataViz
Mtp,150,Expert,John Sanchez,Dalkia,Azure,2026-07-29,2026-07-31,0.8,DataViz
Mtp,150,Expert,John Sanchez,Fraikin,Azure,2026-07-07,2027-03-11,0.2,DataViz
Mtp,150,Expert,John Sanchez,Club Med,Azure,2026-12-22,2027-10-24,0.8,DataViz
Mtp,100,Junior,Derek Turner,COVEA,Cybersecurity,2024-02-09,2024-11-17,0.5,Data Management
Mtp,100,Junior,Derek Turner,Dalkia,Cybersecurity,2024-09-19,2025-01-11,0.5,Data Management
Mtp,100,Junior,Derek Turner,congés,Cybersecurity,2025-01-12,2025-01-26,1.0,Data Management
Mtp,100,Junior,Derek Turner,La Poste,Cybersecurity,2025-01-27,2025-12-29,0.5,Data Management
Mtp,100,Junior,Derek Turner,Enedis,Cybersecurity,2025-11-21,2026-06-16,0.5,Data Management
Mtp,100,Junior,Derek Turner,Club Med,Cybersecurity,2026-05-05,2027-02-07,0.5,Data Management
Paris,150,Confirmé,Susan Martinez,congés,"Talend, Talend BD",2024-03-06,2024-03-20,1.0,TALEND
Paris,150,Confirmé,Susan Martinez,La Poste,"Talend, Talend BD",2024-03-21,2025-02-13,0.2,TALEND
Paris,150,Confirmé,Susan Martinez,DISPO ICE,"Talend, Talend BD",2024-11-27,2025-07-09,0.8,TALEND
Paris,150,Confirmé,Susan Martinez,Dalkia,"Talend, Talend BD",2025-06-23,2025-08-06,0.2,TALEND
Paris,150,Confirmé,Susan Martinez,LVMH,"Talend, Talend BD",2025-07-22,2026-01-24,0.8,TALEND
Tours,105,Sénior,Mackenzie Adams,DISPO ICE,Datastage,2023-09-17,2024-06-27,0.2,Data Integration
Tours,105,Sénior,Mackenzie Adams,Fraikin,Datastage,2024-05-26,2024-06-28,0.8,Data Integration
Tours,105,Sénior,Mackenzie Adams,congés,Datastage,2024-06-29,2024-07-13,1.0,Data Integration
Tours,105,Sénior,Mackenzie Adams,Dalkia,Datastage,2024-07-14,2025-05-01,0.2,Data Integration
Tours,105,Sénior,Mackenzie Adams,Orange,Datastage,2025-02-09,2026-01-19,0.8,Data Integration
Tours,105,Sénior,Mackenzie Adams,La Poste,Datastage,2025-10-31,2026-03-25,0.2,Data Integration
Tours,105,Sénior,Mackenzie Adams,Enedis,Datastage,2026-01-04,2026-07-23,0.8,Data Integration
Tours,105,Junior,Linda Copeland,Bouygues,DevOps,2023-12-01,2024-01-03,0.5,ODI
Tours,105,Junior,Linda Copeland,LVMH,DevOps,2023-11-11,2024-03-30,0.5,ODI
Tours,105,Junior,Linda Copeland,Fraikin,DevOps,2024-01-25,2024-07-31,0.5,ODI
Tours,105,Junior,Linda Copeland,DISPO ICE,DevOps,2024-07-14,2024-11-13,0.5,ODI
Tours,105,Junior,Linda Copeland,La Poste,DevOps,2024-09-24,2024-12-09,0.5,ODI
Mtp,100,Junior,Jaime Johnson,Société Générale,"Power BI, Azure, BO, Qlik",2024-01-18,2024-04-20,0.5,MSBI
Mtp,100,Junior,Jaime Johnson,Bouygues,"Power BI, Azure, BO, Qlik",2024-02-26,2024-12-15,0.5,MSBI
Mtp,100,Junior,Jaime Johnson,Club Med,"Power BI, Azure, BO, Qlik",2024-11-06,2025-10-25,0.5,MSBI
Mtp,100,Junior,Jaime Johnson,La Poste,"Power BI, Azure, BO, Qlik",2025-10-08,2025-12-27,0.5,MSBI
Mtp,100,Junior,Jaime Johnson,Dalkia,"Power BI, Azure, BO, Qlik",2025-10-14,2026-08-24,0.5,MSBI
Mtp,100,Junior,Jaime Johnson,Enedis,"Power BI, Azure, BO, Qlik",2026-07-04,2026-10-10,0.5,MSBI
Paris,105,Expert,Jennifer Cox,COVEA,"Power BI, Azure, BO, Qlik",2023-12-07,2024-10-05,0.5,ODI
Paris,105,Expert,Jennifer Cox,Fraikin,"Power BI, Azure, BO, Qlik",2024-07-22,2025-02-01,0.5,ODI
Paris,105,Expert,Jennifer Cox,Dalkia,"Power BI, Azure, BO, Qlik",2024-11-12,2025-02-07,0.5,ODI
Paris,105,Expert,Jennifer Cox,Club Med,"Power BI, Azure, BO, Qlik",2024-12-20,2025-01-09,0.5,ODI
Paris,105,Expert,Jennifer Cox,Bouygues,"Power BI, Azure, BO, Qlik",2024-11-04,2025-08-27,0.5,ODI
Paris,105,Expert,Jennifer Cox,Enedis,"Power BI, Azure, BO, Qlik",2025-07-02,2026-02-20,0.5,ODI
Paris,105,Expert,Jennifer Cox,La Poste,"Power BI, Azure, BO, Qlik",2026-01-28,2026-09-09,0.5,ODI
Paris,105,Expert,Jennifer Cox,Orange,"Power BI, Azure, BO, Qlik",2026-07-15,2026-08-02,0.5,ODI
Paris,150,Confirmé,Brenda Parker,congés,"Informatica stambia, talend, datastage",2024-05-23,2024-06-06,1.0,Cloud Azure
Paris,150,Confirmé,Brenda Parker,Enedis,"Informatica stambia, talend, datastage",2024-06-07,2025-03-11,0.4,Cloud Azure
Paris,150,Confirmé,Brenda Parker,La Poste,"Informatica stambia, talend, datastage",2025-02-11,2025-08-08,0.6,Cloud Azure
Paris,150,Confirmé,Brenda Parker,Société Générale,"Informatica stambia, talend, datastage",2025-05-28,2026-01-25,0.4,Cloud Azure
Paris,150,Confirmé,Brenda Parker,Fraikin,"Informatica stambia, talend, datastage",2025-12-29,2026-05-25,0.6,Cloud Azure
Paris,150,Confirmé,Brenda Parker,LVMH,"Informatica stambia, talend, datastage",2026-05-02,2026-08-01,0.4,Cloud Azure
Paris,150,Confirmé,Brenda Parker,Dalkia,"Informatica stambia, talend, datastage",2026-05-10,2026-09-12,0.6,Cloud Azure
Paris,150,Confirmé,Brenda Parker,COVEA,"Informatica stambia, talend, datastage",2026-07-17,2026-12-29,0.4,Cloud Azure
Mtp,150,Confirmé,Robert Scott,Orange,"Power BI, Azure, BO, Qlik",2024-02-22,2024-03-13,0.2,Cloud Azure
Mtp,150,Confirmé,Robert Scott,Engie,"Power BI, Azure, BO, Qlik",2024-02-11,2025-01-14,0.8,Cloud Azure
Mtp,150,Confirmé,Robert Scott,LVMH,"Power BI, Azure, BO, Qlik",2024-12-07,2025-03-08,0.2,Cloud Azure
Mtp,150,Confirmé,Robert Scott,Club Med,"Power BI, Azure, BO, Qlik",2025-01-07,2025-03-13,0.8,Cloud Azure
Paris,105,Expert,Jennifer Hernandez,Orange,Azure,2024-01-06,2024-08-28,0.8,MSBI
Paris,105,Expert,Jennifer Hernandez,BPCE,Azure,2024-06-25,2024-10-09,0.2,MSBI
Paris,105,Expert,Jennifer Hernandez,Enedis,Azure,2024-09-02,2025-07-29,0.8,MSBI
Paris,105,Expert,Jennifer Hernandez,Club Med,Azure,2025-05-09,2026-04-08,0.2,MSBI
Paris,105,Expert,Jennifer Hernandez,LVMH,Azure,2026-02-16,2026-03-23,0.8,MSBI
Paris,105,Expert,Jennifer Hernandez,DISPO ICE,Azure,2025-12-30,2026-01-08,0.2,MSBI
Mtp,150,Confirmé,Yolanda Adams,COVEA,DevOps,2024-05-20,2025-05-03,0.8,DSIA
Mtp,150,Confirmé,Yolanda Adams,Orange,DevOps,2025-04-11,2026-03-05,0.2,DSIA
Mtp,150,Confirmé,Yolanda Adams,Fraikin,DevOps,2026-01-20,2026-11-21,0.8,DSIA
Mtp,150,Confirmé,Yolanda Adams,LVMH,DevOps,2026-09-10,2026-10-06,0.2,DSIA
Mtp,150,Confirmé,Yolanda Adams,La Poste,DevOps,2026-07-26,2027-05-16,0.8,DSIA
Mtp,150,Confirmé,Yolanda Adams,Dalkia,DevOps,2027-04-03,2027-05-07,0.2,DSIA
Mtp,150,Confirmé,Yolanda Adams,Bouygues,DevOps,2027-04-22,2028-04-09,0.8,DSIA
Paris,150,Sénior,Paula Walker,congés,Azure,2024-03-29,2024-04-12,1.0,TALEND
Paris,150,Sénior,Paula Walker,Fraikin,Azure,2024-04-13,2024-05-08,0.4,TALEND
Paris,150,Sénior,Paula Walker,COVEA,Azure,2024-02-17,2024-08-03,0.6,TALEND
Paris,150,Sénior,Paula Walker,Orange,Azure,2024-05-30,2025-01-18,0.4,TALEND
Paris,150,Junior,Brenda Paul,Société Générale,Direction de projet,2023-12-14,2024-08-31,0.2,Cloud Azure
Paris,150,Junior,Brenda Paul,congés,Direction de projet,2024-09-01,2024-09-15,1.0,Cloud Azure
Paris,150,Junior,Brenda Paul,BPCE,Direction de projet,2024-09-16,2024-11-08,0.2,Cloud Azure
Tours,170,Junior,Deanna Mcintosh,BPCE,Datastage,2024-06-06,2024-12-28,0.2,Data Management
Tours,170,Junior,Deanna Mcintosh,La Poste,Datastage,2024-12-04,2025-11-30,0.8,Data Management
Tours,170,Junior,Deanna Mcintosh,DISPO ICE,Datastage,2025-09-25,2026-04-04,0.2,Data Management
Tours,170,Expert,Teresa Mccall,Bouygues,Cybersecurity,2024-08-12,2025-07-08,0.5,DSIA
Tours,170,Expert,Teresa Mccall,congés,Cybersecurity,2025-07-09,2025-07-23,1.0,DSIA
Tours,170,Expert,Teresa Mccall,Société Générale,Cybersecurity,2025-07-24,2026-02-14,0.1,DSIA
Tours,170,Expert,Teresa Mccall,Orange,Cybersecurity,2025-12-04,2026-06-18,0.9,DSIA
Tours,170,Expert,Teresa Mccall,Engie,Cybersecurity,2026-05-26,2026-11-22,0.1,DSIA
Tours,170,Expert,Teresa Mccall,Club Med,Cybersecurity,2026-09-18,2027-07-10,0.9,DSIA
Tours,115,Expert,Jason Shelton,Bouygues,UX,2024-07-19,2024-07-30,0.2,Data Integration
Tours,115,Expert,Jason Shelton,La Poste,UX,2024-05-24,2024-06-10,0.8,Data Integration
Tours,115,Expert,Jason Shelton,COVEA,UX,2024-04-07,2024-11-13,0.2,Data Integration
Paris,105,Expert,Kim Walton,COVEA,SAS,2024-03-10,2024-09-24,0.2,Data Management
Paris,105,Expert,Kim Walton,Club Med,SAS,2024-07-05,2025-03-04,0.8,Data Management
Paris,105,Expert,Kim Walton,Enedis,SAS,2025-02-14,2025-05-28,0.2,Data Management
Paris,105,Expert,Kim Walton,Dalkia,SAS,2025-03-13,2025-06-07,0.8,Data Management
Mtp,100,Expert,Casey Wade,Fraikin,UX,2024-07-30,2025-07-02,0.2,Cloud Azure
Mtp,100,Expert,Casey Wade,La Poste,UX,2025-06-14,2026-06-06,0.8,Cloud Azure
Mtp,100,Expert,Casey Wade,Engie,UX,2026-04-02,2027-03-04,0.2,Cloud Azure
Mtp,100,Expert,Casey Wade,Enedis,UX,2026-12-19,2027-02-10,0.8,Cloud Azure
Mtp,100,Expert,Casey Wade,DISPO ICE,UX,2027-01-20,2027-02-10,0.2,Cloud Azure
Mtp,100,Expert,Casey Wade,COVEA,UX,2027-01-05,2027-11-02,0.8,Cloud Azure
Mtp,100,Expert,Casey Wade,Orange,UX,2027-08-17,2028-06-10,0.2,Cloud Azure
Mtp,100,Confirmé,Michael Brown,Dalkia,Data Ing + Data S.,2023-10-20,2024-05-27,0.8,Data Management
Mtp,100,Confirmé,Michael Brown,Fraikin,Data Ing + Data S.,2024-04-02,2024-11-23,0.2,Data Management
Mtp,100,Confirmé,Michael Brown,La Poste,Data Ing + Data S.,2024-10-13,2024-11-22,0.8,Data Management
Mtp,100,Confirmé,Michael Brown,BPCE,Data Ing + Data S.,2024-09-13,2024-12-28,0.2,Data Management
Mtp,100,Confirmé,Michael Brown,LVMH,Data Ing + Data S.,2024-10-22,2025-09-26,0.8,Data Management
Mtp,100,Confirmé,Michael Brown,Engie,Data Ing + Data S.,2025-07-23,2025-08-05,0.2,Data Management
Mtp,100,Confirmé,Michael Brown,DISPO ICE,Data Ing + Data S.,2025-06-10,2026-01-06,0.8,Data Management
Tours,105,Junior,Justin Davis,Société Générale,Cybersecurity,2023-10-30,2023-12-12,0.2,TALEND
Tours,105,Junior,Justin Davis,Club Med,Cybersecurity,2023-10-14,2023-12-27,0.8,TALEND
Tours,105,Junior,Justin Davis,Enedis,Cybersecurity,2023-10-10,2023-10-13,0.2,TALEND
Tours,105,Junior,Justin Davis,Bouygues,Cybersecurity,2023-08-02,2023-09-10,0.8,TALEND
Mtp,115,Sénior,Antonio Daniel,Bouygues,Datastage,2024-04-25,2024-10-03,0.8,DSIA
Mtp,115,Sénior,Antonio Daniel,DISPO ICE,Datastage,2024-09-10,2024-12-03,0.2,DSIA
Mtp,115,Sénior,Antonio Daniel,Dalkia,Datastage,2024-09-26,2025-07-09,0.8,DSIA
Mtp,115,Sénior,Antonio Daniel,congés,Datastage,2025-07-10,2025-07-24,1.0,DSIA
Mtp,115,Sénior,Antonio Daniel,LVMH,Datastage,2025-07-25,2025-11-03,0.7,DSIA
Mtp,115,Sénior,Antonio Daniel,Fraikin,Datastage,2025-09-26,2026-04-07,0.3,DSIA
Mtp,115,Sénior,Antonio Daniel,Enedis,Datastage,2026-02-02,2026-03-31,0.7,DSIA
Mtp,105,Confirmé,Frank Morris,Engie,Datastage,2023-10-25,2023-11-06,0.5,Data Management
Mtp,105,Confirmé,Frank Morris,BPCE,Datastage,2023-09-14,2024-04-25,0.5,Data Management
Mtp,105,Confirmé,Frank Morris,LVMH,Datastage,2024-02-19,2024-07-28,0.5,Data Management
Mtp,105,Confirmé,Frank Morris,congés,Datastage,2024-07-29,2024-08-12,1.0,Data Management
Mtp,105,Confirmé,Frank Morris,Bouygues,Datastage,2024-08-13,2025-07-12,0.3,Data Management
Mtp,105,Confirmé,Frank Morris,Fraikin,Datastage,2025-06-08,2025-08-18,0.7,Data Management
Mtp,105,Confirmé,Frank Morris,DISPO ICE,Datastage,2025-06-01,2025-11-15,0.3,Data Management
Mtp,105,Confirmé,Frank Morris,Société Générale,Datastage,2025-08-25,2025-09-27,0.7,Data Management
Tours,115,Expert,Paul Escobar,Bouygues,"Power BI, Azure, BO, Qlik",2023-10-06,2023-11-10,0.2,TALEND
Tours,115,Expert,Paul Escobar,Société Générale,"Power BI, Azure, BO, Qlik",2023-08-26,2024-08-19,0.8,TALEND
Tours,115,Expert,Paul Escobar,BPCE,"Power BI, Azure, BO, Qlik",2024-07-14,2024-10-08,0.2,TALEND
Tours,115,Expert,Paul Escobar,COVEA,"Power BI, Azure, BO, Qlik",2024-09-09,2025-05-31,0.8,TALEND
Tours,170,Sénior,Todd Stephens,DISPO ICE,Cybersecurity,2023-09-16,2023-11-07,0.8,Cloud Azure
Tours,170,Sénior,Todd Stephens,LVMH,Cybersecurity,2023-10-15,2024-09-28,0.2,Cloud Azure
Tours,170,Sénior,Todd Stephens,COVEA,Cybersecurity,2024-07-30,2025-05-19,0.8,Cloud Azure
Tours,170,Sénior,Todd Stephens,Orange,Cybersecurity,2025-02-24,2026-01-28,0.2,Cloud Azure
Tours,170,Sénior,Todd Stephens,Société Générale,Cybersecurity,2025-11-09,2025-12-23,0.8,Cloud Azure
Tours,170,Sénior,Todd Stephens,Fraikin,Cybersecurity,2025-11-06,2026-08-21,0.2,Cloud Azure
Tours,170,Sénior,Todd Stephens,congés,Cybersecurity,2026-08-22,2026-09-05,1.0,Cloud Azure
Mtp,170,Junior,Michael Moreno,La Poste,MsBI/BO,2024-01-25,2024-02-09,0.5,Cloud Azure
Mtp,170,Junior,Michael Moreno,Engie,MsBI/BO,2023-11-26,2024-01-10,0.5,Cloud Azure
Mtp,170,Junior,Michael Moreno,Bouygues,MsBI/BO,2023-12-14,2024-07-17,0.5,Cloud Azure
Mtp,170,Junior,Michael Moreno,COVEA,MsBI/BO,2024-05-22,2025-01-08,0.5,Cloud Azure
Mtp,170,Junior,Michael Moreno,DISPO ICE,MsBI/BO,2024-11-01,2025-01-27,0.5,Cloud Azure
Mtp,115,Sénior,Mathew Williams,Engie,"Informatica stambia, talend, datastage",2024-03-23,2024-05-14,0.5,DataViz
Mtp,115,Sénior,Mathew Williams,Dalkia,"Informatica stambia, talend, datastage",2024-02-26,2024-12-27,0.5,DataViz
Mtp,115,Sénior,Mathew Williams,Club Med,"Informatica stambia, talend, datastage",2024-12-12,2025-10-27,0.5,DataViz
Mtp,115,Sénior,Mathew Williams,BPCE,"Informatica stambia, talend, datastage",2025-08-26,2026-03-18,0.5,DataViz
Tours,115,Expert,Michael Walter,DISPO ICE,Talend BD,2024-04-02,2024-10-26,0.2,ODI
Tours,115,Expert,Michael Walter,La Poste,Talend BD,2024-08-22,2025-04-30,0.8,ODI
Tours,115,Expert,Michael Walter,Club Med,Talend BD,2025-04-05,2026-03-13,0.2,ODI
Tours,115,Expert,Michael Walter,Enedis,Talend BD,2026-01-19,2027-01-16,0.8,ODI
Tours,115,Expert,Michael Walter,congés,Talend BD,2027-01-17,2027-01-31,1.0,ODI
Tours,170,Expert,Jamie Garcia,COVEA,Datastage,2024-01-10,2024-02-25,0.8,Data Integration
Tours,170,Expert,Jamie Garcia,LVMH,Datastage,2023-12-20,2024-12-14,0.2,Data Integration
Tours,170,Expert,Jamie Garcia,Dalkia,Datastage,2024-11-06,2025-01-14,0.8,Data Integration
Tours,170,Expert,Jamie Garcia,Engie,Datastage,2024-11-04,2025-09-24,0.2,Data Integration
Tours,170,Expert,Jamie Garcia,Enedis,Datastage,2025-08-16,2026-01-03,0.8,Data Integration
Paris,100,Confirmé,Brian Smith,Enedis,UX,2024-08-15,2024-10-03,0.8,TALEND
Paris,100,Confirmé,Brian Smith,DISPO ICE,UX,2024-07-17,2025-01-09,0.2,TALEND
Paris,100,Confirmé,Brian Smith,Dalkia,UX,2024-12-14,2025-05-29,0.8,TALEND
Paris,100,Confirmé,Brian Smith,Bouygues,UX,2025-03-19,2025-06-23,0.2,TALEND
Paris,100,Confirmé,Brian Smith,COVEA,UX,2025-04-27,2025-08-12,0.8,TALEND
Paris,100,Confirmé,Brian Smith,LVMH,UX,2025-05-24,2026-04-09,0.2,TALEND
Paris,100,Confirmé,Brian Smith,La Poste,UX,2026-02-11,2026-07-24,0.8,TALEND
Paris,105,Junior,Lauren Brown,LVMH,Pilotage BT,2023-09-13,2024-05-02,0.2,Data Management
Paris,105,Junior,Lauren Brown,Enedis,Pilotage BT,2024-03-12,2024-12-26,0.8,Data Management
Paris,105,Junior,Lauren Brown,Fraikin,Pilotage BT,2024-10-27,2024-12-01,0.2,Data Management
Paris,105,Junior,Lauren Brown,Club Med,Pilotage BT,2024-11-11,2025-04-21,0.8,Data Management
Paris,105,Junior,Lauren Brown,La Poste,Pilotage BT,2025-02-24,2025-03-27,0.2,Data Management
Paris,105,Junior,Lauren Brown,DISPO ICE,Pilotage BT,2025-01-03,2025-01-19,0.8,Data Management
Paris,105,Junior,Lauren Brown,Bouygues,Pilotage BT,2024-11-23,2025-07-04,0.2,Data Management
Paris,100,Junior,Debra Montgomery,Orange,Data Ing + Data S.,2024-06-09,2024-06-12,0.8,Data Integration
Paris,100,Junior,Debra Montgomery,DISPO ICE,Data Ing + Data S.,2024-05-20,2025-01-22,0.2,Data Integration
Paris,100,Junior,Debra Montgomery,Bouygues,Data Ing + Data S.,2024-12-02,2025-09-08,0.8,Data Integration
Tours,170,Expert,Matthew Dixon,Fraikin,Pilotage BT,2024-07-16,2024-10-21,0.2,Data Management
Tours,170,Expert,Matthew Dixon,Dalkia,Pilotage BT,2024-10-06,2025-07-27,0.8,Data Management
Tours,170,Expert,Matthew Dixon,congés,Pilotage BT,2025-07-28,2025-08-11,1.0,Data Management
Tours,170,Expert,Matthew Dixon,BPCE,Pilotage BT,2025-08-12,2025-09-30,0.4,Data Management
Tours,170,Expert,Matthew Dixon,Bouygues,Pilotage BT,2025-09-11,2026-01-21,0.6,Data Management
Tours,170,Expert,Matthew Dixon,Engie,Pilotage BT,2025-10-29,2026-05-22,0.4,Data Management
Paris,170,Sénior,Megan Marsh,Fraikin,"Talend, Talend BD",2024-01-30,2024-08-06,0.5,Data Integration
Paris,170,Sénior,Megan Marsh,congés,"Talend, Talend BD",2024-08-07,2024-08-21,1.0,Data Integration
Paris,170,Sénior,Megan Marsh,Orange,"Talend, Talend BD",2024-08-22,2025-01-14,0.8,Data Integration
Paris,170,Sénior,Megan Marsh,Enedis,"Talend, Talend BD",2024-11-26,2025-06-17,0.2,Data Integration
Paris,170,Sénior,Megan Marsh,Club Med,"Talend, Talend BD",2025-05-12,2025-05-16,0.8,Data Integration
Paris,170,Sénior,Megan Marsh,DISPO ICE,"Talend, Talend BD",2025-04-22,2025-09-27,0.2,Data Integration
Paris,170,Sénior,Megan Marsh,Société Générale,"Talend, Talend BD",2025-07-29,2026-05-12,0.8,Data Integration
Paris,170,Sénior,Megan Marsh,LVMH,"Talend, Talend BD",2026-02-20,2026-12-14,0.2,Data Integration
Mtp,170,Expert,Michelle Oneill,Enedis,Cybersecurity,2024-01-02,2024-01-26,0.5,Data Integration
Mtp,170,Expert,Michelle Oneill,Bouygues,Cybersecurity,2024-01-03,2024-05-13,0.5,Data Integration
Mtp,170,Expert,Michelle Oneill,Engie,Cybersecurity,2024-04-25,2024-10-13,0.5,Data Integration
Mtp,170,Expert,Michelle Oneill,congés,Cybersecurity,2024-10-14,2024-10-28,1.0,Data Integration
Mtp,170,Expert,Michelle Oneill,Club Med,Cybersecurity,2024-10-29,2025-09-02,0.8,Data Integration
Mtp,170,Expert,Michelle Oneill,COVEA,Cybersecurity,2025-07-24,2026-03-21,0.2,Data Integration
